class_id,predictions_0.01,predictions_0.5,predictions_0.55,predictions_0.6,predictions_0.65,predictions_0.7,predictions_0.75,predictions_0.8,predictions_0.85,predictions_0.9,predictions_0.95
84608,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84611,0,0,0,0,0,0,0,0,0,0,0
84612,0,0,0,0,0,0,0,0,0,0,0
84613,0,0,0,0,0,0,0,0,0,0,0
84614,0,0,0,0,0,0,0,0,0,0,0
84615,0,0,0,0,0,0,0,0,0,0,0
84616,0,0,0,0,0,0,0,0,0,0,0
84617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84620,0,0,0,0,0,0,0,0,0,0,0
84621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84622,0,0,0,0,0,0,0,0,0,0,0
84623,0,0,0,0,0,0,0,0,0,0,0
84624,-1,-1,-1,-1,-1,-1,-1,-1,NULL,NULL,NULL
84625,0,0,0,0,0,0,0,0,0,0,0
84626,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
84627,0,0,0,0,0,0,0,0,0,0,0
84628,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84629,0,0,0,0,0,0,0,0,0,NULL,NULL
84630,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84631,0,0,0,0,0,0,0,0,NULL,NULL,NULL
84632,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84633,0,0,0,0,0,0,0,0,0,0,0
84634,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84635,0,0,0,0,0,0,0,0,NULL,NULL,NULL
84636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NULL
84637,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84638,0,0,0,0,0,0,0,0,0,0,NULL
84639,-1,-1,-1,-1,-1,-1,-1,-1,NULL,NULL,NULL
84640,0,0,0,0,0,0,0,0,0,0,0
84641,0,0,0,0,0,0,0,0,NULL,NULL,NULL
84642,0,0,0,0,0,0,0,0,0,0,0
84643,0,0,0,0,0,0,0,0,0,0,0
